,id,q,count,classes
0,1,"Здравствуйте,хотела бы спросить. А есть ли примерные задания на вступительные экзамены или может задания прошлых лет?! Что бы было к чему готовиться конкретно.",0,
1,2,"Здравствуйте, никак не могу найти, какие есть языки на выбор на направлении Перевод и переводоведение (второй язык). Не могли бы вы ответить, какие именно? ",0,
2,3," Недавно отправил документы, но в заявлении указал только 3 специальности. Имел ли я право указать 10? И могу ли я подать еще одно заявление в электронном виде? ",0,
3,4, У вас была специальность сурдопереводчик на ИСТР.  этом году есть этот специальность или нет?,0,
4,5,"Сколько бюджетных мест на специальностях авиастроение и системы жизнеобеспечения летательных аппаратов,если исключить целевые места? ",0,
5,6,"Добрый день! Подскажите пожалуйста, иностранный гражданин, в этом году поступил в Томский педагогический университет, может ли он перевестись к вам в университет на очное обучение? И нужно ли сдавать экзамены? ",0,
6,7,"Добрый день. Для того чтобы иностранные граждане могли находиться в России и учиться у вас в УЗе, не отказываясь от гражданства своей страны, в каких инстанциях нужно зарегистрироваться, в России, и какие документы для этого нужны?",0,
7,8,Здравствуйте. Будет ли получена аккредитация по направлению Экология и природопользование?,0,
8,9,"Здравствуйте, я из Казахстана и хочу поступить в ваш вуз, подойдет ли справка формы 086 в черно-белом варианте, а не в цветном, и необходима ли отметка фтизиатра в медицинской справке, или подойдет флюорография?",0,
9,10,"Здравствуйте. Я окончил колледж по специальности теплоэнергетика и теплотехника,к вам хочу поступить на эту же специальность. Хотелось бы узнать какие вступительные экзамены я буду сдавать?",0,
10,11,"Как проводится тестирование для поступления в магистратуру? Почему иностранный язык обязательное требование практически на всех направлениях? Что делать, если ты не силен в языках?",0,
11,12,"Где подписывать заявление на поступление если я сдаю в электронном виде ? После принятия моих документов , я могу приехать и сдать экзамен?",0,
12,13,"Можно ли подавать заявление, когда результаты ЕГЭ еще не пришли?",0,
13,14,"Если не поступили на бюджет, можно ли поступать на платное? нужно ли заполнять дополнительно заявление и до какого срока? если результаты будут известны только в конце июля - начале августа не поздно ли будет подать документы на платное отделение?",0,
14,15,"опрос по поводу семейного общежития. Жена поступает в НГТУ, мы оба не из Новосибирской области (нет регистрации в Новосибирске и негде жить). Я не являюсь студентом НГТУ. Будет ли нам предоставлено семейное общежитие? Какие условия необходимы для этого?",0,
15,16,"Как быть, если мы приедем раньше дня заселения в общежитие.едь билеты мы будем брать заранее и не будем еще знать точный день заселения. Есть ли у вас общежитие гостиничного типа для сопровождающих лиц?",0,
16,17,"И еще хотелось бы узнать, при поступлении обязательно иметь паспорт? Или можно с удостоверением личности подавать документы.",0,
17,18,"Если я подал документы лично, имею ли право зарегистрироваться в личном кабинете?",0,
18,19,Какие копии документов нужны для подачи заявления на обучение в уневерситет?,0,
19,20,Какие документы нужны для поступления на заочную или очнозаочную форму обучения имея среднее-профессиональное орразование? ,0,
20,21,Какие документы надо для поступления гражданина Армении на ваш УЗ? Ничего если у меня аттестат Российского образца? И ничего что у меня два гражданства я и гражданин Армении и России ?,0,
21,22," Имею диплом специалиста (5 лет обучения) другого вуза, не НГТУ. Обучение было на бюджетной основе. Хочу поступать в этом году в магистратуру НГТУ. Есть ли у меня шанс попасть на бюджет или обучение в моём случае возможно только на платной основе?",0,
22,23,"Заявление подано более двух недель назад. в группе РЭФ 2п. есть фамилия в рейтинге а в группе РЭФ.2 нет, хотя в заявлении указаны оба.",0,
23,24,где находится приемная комиссия,0,
24,25,Для чего нужна довузовская подготовка?,0,
25,26,"Будет ли выездная приемная комиссия? Если нет, то как подавать документы в эл.виде? Или обычной почтой?",0,
26,27,"Скажите, пожалуйста, предоставляются ли квоты на обучение в магистратуре для иностранных граждан в этом году? спасибо",0,
27,28,Могут ли поступить имеющий диплом (2 степени) Международных Соревновании без вступительных экзаменов? ,0,
28,29,"Хотел бы узнать , какой список документов нужен для поступления на факультет Радиотехники и Электроники, и когда начинаются экзамены, у ас, дело в том что , я гражданин РК, и у нас не будет второго потока сдачи экзаменов, и мне сказали я должен сдавать у ас, если можно ответить на E-mail, заранее благодарен.",0,
